Year,Sri Lanka,Pakistan,,
1960,,371.062859704241,,
1961,645.844859559486,384.03127583059,,
1962,654.923672964227,392.074799169441,,
1963,655.863173822757,416.09202683724,,
1964,665.627029642454,436.720611317431,,
1965,666.490355993544,470.233701151015,,
1966,683.376785480711,484.763527108262,,
1967,710.097092344873,497.565620925504,,
1968,733.671465289092,519.343745609302,,
1969,772.344050732787,533.203576773906,,
1970,784.658506055797,577.577323482539,,
1971,778.569859264325,565.146953776057,,
1972,760.20294207906,554.880102391572,,
1973,798.512469906156,577.665325548458,,
1974,813.874407926739,581.265752516486,,
1975,847.834294830374,588.159566348217,,
1976,859.995307858133,599.958054911438,,
1977,887.357749445475,604.531768445126,,
1978,920.742997169197,632.766351019775,,
1979,962.798974667654,634.343194028616,,
1980,1002.3452958,671.251493699057,,
1981,1043.03479530848,693.076043738388,,
1982,1070.22797217846,708.473153496042,,
1983,1105.80975378837,729.484209232492,,
1984,1145.88352367388,742.598190243593,,
1985,1186.22884186238,773.329247504439,,
1986,1220.34967820771,787.519612673574,,
1987,1223.87333797075,809.121840461669,,
1988,1236.73137936368,840.842056198019,,
1989,1248.2634589554,853.284150789127,,
1990,1311.36293926,862.416565129213,,
1991,1355.2616762832,877.264309677399,,
1992,1398.85142422098,920.37722801349,,
1993,1479.68921638991,912.89679615512,,
1994,1547.90072157144,919.915415743397,,
1995,1619.74852753427,937.479237233664,,
1996,1669.91362908502,953.425407661187,,
1997,1766.9114017146,935.188372743558,,
1998,1840.5915377129,931.706804524959,,
1999,1909.59463118821,938.592245499884,,
2000,2011.84833557954,948.938555505172,,
2001,1966.70964001324,952.74789133077,,
2002,2028.51362805162,952.448161446693,,
2003,2130.95235799785,985.653665120306,,
2004,2228.07865014563,1036.60893177231,,
2005,2348.03385494023,1080.6048440507,,
2006,2508.707668855,1120.58544840787,,
2007,2659.49711561836,1149.85139196663,,
2008,2797.72601387152,1144.21035656385,,
2009,2876.65090156415,1150.67210489208,,
2010,3086.04401388314,1143.11797784055,,
2011,3331.10455514106,1150.00283144753,,
2012,3613.95588782964,1169.12315814795,,
2013,3731.1560625899,1201.90837064492,,
2014,3932.26048207707,1240.48956090006,,
2015,4060.13178524716,1282.44315294243,,
2016,4218.44401553777,1337.12337361832,,
2017,4440.51197526867,1377.96967429473,,
2018,4495.71089310179,1440.42539473925,,
2019,4458.43485391502,1452.85157330085,,
2020,4280.84906667802,1409.69760074979,,
2021,4375.9477077248,1473.8648995053,,
