Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6681564.24581006,6703910.61452514,6586592.17877095,6793296.08938548,6603351.95530726,348603.351955307,353072.625698324,354189.944134078,368156.424581006,396089.38547486,408938.547486034,432402.234636871,477653.631284916,483240.223463687,508379.888268156,502793.296089385,537988.826815642,561452.51396648,486033.519553073,413407.82122905,370949.720670391,555307.262569832,739664.804469274,969273.74301676,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,25842350718.1982,23988895417.9153,22969957688.1613,23251565291.6855,23555830996.4993,25947069240.6266,30673866225.4869,35207968938.1997,37636962658.5031,44359652980.0878,51901626998.5,29745895747.9062,30255556987.911,29593948940.6043,32362267657.3612,33592453892.9619,37102198741.5257,35266466471.0773,32286266467.2397,35721301897.4505,32456896637.0242,33818503800.6594,38782382928.516,43218951107.9278,50092276299.8958,57676913755.2141,72477642261.3718,86503845787.5889,90913997316.8086,96661961317.2801,101308237094.669,111206135602.608,114012898202.828,125685791711.716,125332227908.584,121911882508.302,138274987379.406,121211655578.82,127732687560.582,136510121930.351,145205499604.458,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488809830.09966,1698629273.64231,1551684512.45877,1937272862.96247,1996321909.8695,2924931148.12865,2551399754.09123,3561063119.72181,4097644578.93142,4319070023.24095,4927827948.56387,4690895412.39673,4549291004.84737,4126484090.6648,4638290864.01885,4992453823.70511,4060047713.72402,4872437788.79791,5402592067.19986,4951306534.29632,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,33292447393.4546,31797053621.2632,25774800816.5565,24151289062.8317,24728440369.7781,24342639770.3374,27282361856.991,28726408276.4195,26018120076.7583,29978846836.8801,29271933699.5276,29243622546.2501,24215036353.1119,21717799028.6995,27448561736.4582,30701356898.5192,31490512741.1771,32957126702.9897,33144730389.8274,29791792399.8086,34153589140.2459,53355106767.0043,57503427886.7331,61135082469.2389,75065327462.9327,91393795915.7747,105977903833.235,132669484780.165,122753247292.909,135446841837.429,144197951428.978,155226354531.005,167569698996.753,175489549188.388,157920942005.61,145057007271.577,142254943395.051,160576855254.124,169146959383.764,180229352370.715,187011388494.286,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368504825.790174,528873555.808731,688508306.952096,840031172.522658,387034655.565374,517163204.882735,728859048.232153,892609948.954978,1104099935.26016,1472209717.57715,1870877459.72595,2719244833.46004,3421449079.01718,4254580694.73061,4655175861.79946,5049270547.79989,6397312465.47847,7586928882.11777,8681097743.54754,10357915746.7602,7956610656.78827,4899902848.54176,6908999527.52539,6696215800.18899,5463377079.41528,4852886336.21752,5354704084.59917,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165017048.02634,712413087.93456,732872453.029902,832541636.495293,853223432.031554,890950856.188222,957666990.964761,1233309073.68723,1475553858.65087,1517438117.23806,1575348051.13788,1831547564.4132,2168840425.96305,2022750507.74863,2141582328.47493,2349572529.28269,2312038171.93268,2499687704.64809,2644330678.80167,2252343371.04056,2354447509.91804,2476624685.13854,2793251547.37696,2832296168.98557,2915069419.23608,3224713119.4839,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7388981.02082182,6836689.03803132,6775832.86278939,9898419.86455982,12006456.4191706,12025867.4294242,12219294.9441726,14577059.9507254,16625164.7868756,15393164.7679911,16094392.1516638,17803452.1158129,19169985.8666324,18701022.7121796,17590009.2998539,14323754.5767225,15120655.3021917,16787166.7419792,17583845.0637695,16489421.2470615,16173615.0770988,,,
Arab World,ARB,,,,,,,,,5134153991.5604,5455768480.66856,6316119822.37092,6934289790.45646,8180381413.12733,9312019750.42909,11105822990.2197,12614701979.8548,14630896998.2984,16208977629.6634,17849741058.1348,19202578949.543,21843394657.1756,24063324536.0405,26559276887.3588,28199420755.0307,31157437720.6954,33847761470.0948,39156668180.9831,45274590626.7083,44759668895.8028,50547160795.6839,66865009594.8298,57888448064.8356,43713103499.7977,44721890259.5774,51929704320.8826,57725396850.7495,64283797069.1385,65454536048.2126,72449047890.4918,69889577027.2111,71339362084.6197,75058001313.1351,76001243386.8463,80619814646.0045,86092289680.0044,92942649585.9342,107506931356.348,122387457435.231,139909134386.578,154718497916.34,165035553400.542,138705336083.911,138610022537.609,142187924752.806,152205484203.354,150315358960.734,146602743101.964,141792463300.772,126893090073.464,135397112492.429,138917940844.245,145893469537.572,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,79519349.7084291,104727935.038324,120667127.814926,149566026.038438,170872972.193831,213896531.261801,270498501.770635,298556251.702533,312721329.338055,352220103.514029,375919368.019613,402070280.577499,415962952.873876,434486515.935712,494688095.886679,536638518.114955,669027512.939254,747752655.952057,823753745.573413,1085535276.49142,1174884227.73086,1318714246.79924,1579950967.03895,1650374404.35671,1970319945.54118,2360789652.82505,2312321307.01157,2419605173.58747,2397004765.14636,2461810755.61607,2520353982.30089,2430496936.69163,2518992511.91287,2609938733.83254,2628999319.26481,2212294758.33901,2356202641.25255,2415136179.66089,2534073650.49078,2603546715.00292,2679578389.16724,2772601295.99295,2974791440.34116,3038302971.22739,3121180251.19485,3368537938.50532,3793405003.08888,,
Argentina,ARG,,,,,,3657647056.60044,2942857060.50856,2420909129.36153,2570000119.25664,2871142801.33423,3043947529.01047,3617599855.69986,3815374911.49548,6280333430.12474,7410889160.41332,3452513642.24721,4171424983.67595,4591960171.9075,4358786867.90813,5399103642.90823,4889779676.74007,5094736992.14826,8090277995.49755,9002848956.56769,6601000166.75529,6750000170.51935,8653333202.14999,8993333404.72614,11330681729.6845,7369454003.07303,11483008746.543,12742527110.645,13706238946.0933,12161011111.1111,13084820500,13808477800,15269958100,15293015300,15702922200,12638962300,13300482400,12275651800,9974343869.19277,13177395614.839,13769497386.4639,15777249624.7271,16129176942.5676,21427791191.1784,26462268578.7967,17559926036.6081,30213817111.0998,37104716624.8996,31567304377.5225,33413631489.5722,35330279234.9601,30669352553.9863,34926920030.8981,33672221280.3468,23815684360.2064,23814079619.2565,23627705246.161,34746817678.9938,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902205025.83606,2050215843.39069,2098075398.18975,1817614014.78035,1728561492.24893,1728457123.06439,1736925086.52908,1569706507.56975,1434808037.23613,1571534231.89154,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,3852264.81481481,3949817.40740741,3902447.03703704,4035066.66666667,4373347.40740741,4436734.81481481,4880199.25925926,4245227.03703704,5126490,5434985.92592593,6436933.33333333,7046851.85185185,7487162.59259259,8181481.48148148,8574074.07407407,9000000,9340740.74074074,9292592.59259259,9485185.18518518,10237037.037037,11700000,12129629.6296296,12777777.7777778,13196296.2962963,12914814.8148148,14096296.2962963,14970370.3703704,14807407.4074074,17966666.6666667,19125925.9259259,21081481.4814815,21203703.7037037,18322222.2222222,18762962.962963,21992592.5925926,22785185.1851852,23833333.3333333,20692592.5925926,21551851.8518519,22525925.9259259,26329629.6296296,27877777.7777778,29251851.8518519,30340740.7407407,31818518.5185185,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13061946902.6549,10339062867.9068,9906944551.2574,10154581225.4075,10776893808.3708,11081823581.8236,13562215477.997,14070277038.6602,12106084243.3697,11876174959.2681,12944796834.7673,13276269185.3601,15612704060.2763,13502620850.3203,18814909659.9801,20073673131.8599,20435010482.1803,18856873675.1197,24729632945.3894,21364305698.7189,25318418039.2848,32046731736.1727,35076304392.6583,36030573509.7979,32592490590.2873,32090024128.4633,29011500946.2804,35858662040.8779,35108906286.3344,29462165641.5391,26698619117.8442,35813866706.4706,,
Austria,AUT,,,,,,,,,,,,,,,,,2193673391.11759,2273237865.29015,2739367952.24107,3171115800.3088,3550198893.85237,2817881458.44133,2598724691.45761,2460920024.51356,2435472801.04532,2175389731.31152,3195860297.43128,3970277535.91641,4064799955.42182,4008554342.17369,5155570615.99903,4885844431.34944,4785919108.43977,4196808233.76316,4826931694.97651,5203043537.60065,4703431245.12607,4054684857.36836,3914150733.6594,3741674664.38225,3249952420.73726,3299785780.97638,3350508115.95295,3912943963.36078,4450943708.28959,3980864935.3463,4382366349.81176,5512391588.45492,5799100567.95312,4607440565.47656,4971410985.66668,6051859531.32297,5520993880.78125,5397697491.43923,5314295407.42743,4315472578.34375,4395047361.78211,5051098257.10589,5144143368.34509,4678966855.92156,4724454343.48639,5822973541.20146,,
