"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369439664.804469","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","111191044206.616","109676256345.874","110298961596.575","116627170240.347","116372526505.271","116712806894.985","118296936936.1","122768596470.562","124213598396.761","120744019049.316","116203327830.55","111540309744.285","110261984683.157","112391719291.643","114296395636.077","117985777373.963","120528033862.26","120618080040.211","122948263780.388","130499746030.797","133143732720.102","138825750405.488","141375622869.961","150765303123.216","162795611727.601","174803480459.954","189960911674.427","195115479775.169","190304539632.596","202728075097.073","209076359460.26","207837841870.175","213878247306.96","223089533379.619","229476107518.929","235394535555.619","242485777869.725","249566086610.216","253330700029.708","239359425901.523","250151690021.167","",
"Afghanistan","AFG","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1576985852.30254","1738937455.98866","2042835485.41835","2308235024.61032","2623714050.477","2823985454.43334","2986133557.05732","3168500950.01758","3367185012.86736","3697427421.34167","3933843554.1388","4132935010.90601","4247242923.08464","4424400578.22867","4390513455.37914","4794738916.19995","5325739069.24719","5583977131.63967","5325424853.42682","4570005011.76247","",
"Africa Western and Central","AFW","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","106579264413.958","97300462108.0092","84419089042.3369","87441799936.867","91162150441.5088","88550352935.1071","90953992076.3081","95723614996.3584","96948054820.4365","110395156002.724","107602018579.083","112129424215.133","106375673958.929","102418244983.368","100916383687.149","106144218994.247","109064888267.062","110526263745.051","106559807719.813","112044119357.004","117300311538.329","120172748923.887","131100617383.838","134165704694.02","136950880202.722","135576352197.146","134795633646.017","135351055877.466","139399370508.515","144271767257.72","156405542119.968","162064940543.625","166687887223.743","175350758552.016","173269662540.336","164684138508.868","171367712915.925","176728503010.168","182993002456.658","176943145136.831","178568516461.716","",
"Angola","AGO","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15177675479.6047","15164525176.0787","17409019638.1059","20977160380.218","23744750722.9566","28445950379.4453","31167309247.4306","29951784190.1042","30709564326.5854","30276559472.3528","33513123679.3428","34585543637.3747","34025257828.7155","36573749640.1888","36943144513.3092","36333582627.2348","34692585785.4801","33457529730.7621","29957351568.0838","27459502552.1512","",
"Albania","ALB","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","824071491.617699","680250754.565118","800968564.129258","955447466.18441","1198438195.13074","1441045155.89852","1538236574.38912","1733810699.92291","1858682845.23826","1970277163.21502","2151600062.2183","2250202400.94337","2406504777.01763","2451314377.59507","2534655099.27368","2592049209.61643","2432880224.84724","2498986555.34114","2416056225.32903","2478197737.88382","2525196151.41009","2570490712.54194","2822258522.72352","2845433523.27598","2703385211.46102","3136034562.39709","",
"Andorra","AND","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332602490.695265","361561622.415645","381644003.969988","426590286.496375","469792720.764542","503150850.349207","531682457.980476","516775368.031174","486736175.454089","441024849.82087","384287902.942129","348645894.670891","307997354.303473","284899802.857497","279240733.993724","278464440.252968","293405282.104042","301809505.645272","326695907.885164","352032335.482016","338317812.728657","","",
"Arab World","ARB","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","656316522634.072","662057116763.826","645498250574.567","672827509172.585","729376975544.677","759384492571.036","803732614518.773","821371833631.719","864820339710.454","844403918414.732","888171831083.259","918377234166.09","973798092768.562","976438832752.363","989043791107.63","1027598166108.28","1068366482909.61","1062351740845.24","1082878429269.68","1082026645823.95","1023473596261.96","1039467148671.88","",
"United Arab Emirates","ARE","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99540059964.771","95858896438.8095","102656767210.799","112265227382.647","116563207982.65","132671443036.835","129113153185.673","132435567914.889","123810915575.969","126865016119.721","137626860035.115","142626896557.656","146930249031.696","148626174166.573","160530133990.606","168593511814.692","163704400469.765","169080476589.022","167657431628.616","162979924744.782","167117949548.958","",
"Argentina","ARG","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","56245012313.7191","56869181038.3357","59275361622.1084","64891232918.5035","72383684858.5866","71710335092.5204","76249072958.1822","78631013039.2615","79264576069.96","84050177434.7076","83133183637.8536","83595112297.5827","90808609667.9668","83239803731.4522","89517254657.8195","88363421591.3349","78940934579.2696","76407419048.4934","80516371512.976","81059282479.7463","74046834313.16","80437271732.8818","83137371510.5053","80184351874.6029","73297509420.8939","69394191297.8103","76810667641.7281","85272709112.5119","89937379582.8031","95519209253.7635","92126904779.4787","97832734759.8314","106022449569.419","108085754207.777","100927786461.202","98712066321.1635","93587440663.1616","82959297869.6097","94707463303.9408","104950392908.948","111808254681.811","121496353134.346","128826650230.193","132784260080.578","124241795959.535","135181158734.066","143063461033.578","139914453094.173","140685653412.771","135815066829.015","137702635919.615","129681238786.156","132667581022.123","128622128322.544","122524467949.996","111148293083.581","128114047696.599","",
