"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33251396.6480447","34636871.5083799","37944134.0782123","46530726.2569832","62011173.1843575","76829608.9385475","81112849.1620112","86827932.9608939","97657541.8994413","126767039.106145","146021229.050279","162157541.899441","178492178.77095","189653631.284916","107412290.502793","70184357.5418994","110950837.988827","52085474.8603352","89000000","95987150.8379888","106228491.620112","110067039.106145","115463687.150838","100218435.75419","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","3935337442.05011","4250729868.25798","4634268913.66393","5047498475.20839","5747602523.46763","6417518781.4168","6924040170.70778","7239735733.1095","9792177268.30138","12080133938.6971","13525765057.0073","13261615464.3044","13691529106.6141","15369472792.5301","19400872950.5887","26850248002.6427","30222739003.1828","27551439848.9611","29832461296.7523","26442174006.0288","19933694010.4758","22966241684.227","30098717259.2273","33373866332.5777","36081686227.0689","42346817427.2703","43902885441.6224","42320532803.6342","39882043686.2086","40456017878.7254","45607829983.1045","43581619167.7551","45085393510.3254","41184206225.7717","38888827694.334","41592887212.816","38052140607.5098","37747783718.3371","51309301098.5912","63402743699.6766","69665908739.5984","70638610063.9526","78789254182.5646","79567017233.5156","83079391719.6476","95514670637.3988","101291516537.613","99900422646.8345","97629689860.1011","98019614750.7101","92272090525.5602","88291474905.6109","100666607327.792","109960052861.751","108335747765.198","96469746317.0549","110609197695.76","",
"Afghanistan","AFG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","725473152.360197","768259057.315211","916463716.273146","1033437764.59643","1142297904.65327","1724286292.75735","1828467911.02418","1598345897.66518","1957761729.72741","2506491131.05157","2522635320.31719","2364888525.12302","2358711127.99686","2283790640.55387","741360052.369985","667121056.1804","1134633696.49302","1331477481.64281","1546262359.62634","1339800235.47673","",
"Africa Western and Central","AFW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","45669009448.564","40080985786.9389","28991551787.3273","19553102066.1073","23320649077.8147","19323778795.5858","17503250602.7401","18262824967.8701","15183458902.5473","18192526704.3548","17891222597.4838","16892627344.2296","13873776962.9268","13453306142.3092","16720359313.3225","17950254612.1514","18875051635.1391","18077508766.207","18714201558.42","17673119181.7044","18407128099.2696","20401320100.4566","23730358433.1965","27356443897.2941","32349579081.5596","38002703904.9431","43964430119.9694","53112494563.8753","46643457294.0668","48163480519.8222","59013933761.6566","63730899096.1616","82614066255.2303","92421820358.1213","77278294209.293","66364519502.007","67397403879.3119","80191319763.1972","89851844713.9872","93693461398.4937","110293631562.437","",
"Angola","AGO","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201958350.470591","259342533.481708","334875882.351015","407249039.003883","198301063.225514","263860200.804189","346102756.83542","559731834.450565","712475155.583376","1102692322.60891","1446628995.71014","1892429279.77643","2218727582.29137","3064973678.38856","3592289537.64235","3710607898.75674","4561102414.05832","5504033126.45065","6439751496.02828","6537050864.49326","4958543523.08606","3365569249.68664","4538787340.13134","4713839536.01815","4253808795.71126","3704705929.15035","3484026883.12723","",
"Albania","ALB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155437042.877963","103517382.413088","120269912.675311","145590152.063722","150276373.534804","160768481.136016","176816057.456316","231427088.171808","300144345.119245","356372214.762547","436345733.175405","565555542.03957","643783986.096841","626007469.090243","650270789.817264","729861897.125549","568493365.94438","646451378.452756","704503223.359879","645807416.063772","674241295.28566","801771620.486986","929583699.110652","963568581.202868","913668707.777266","1137448997.29521","",
"Andorra","AND","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54744794.5457896","53395973.1543624","60370788.6316582","85395033.8600451","105810777.253539","109861957.467977","118730397.691632","134341637.010676","146140325.179435","132731314.253959","127641521.940872","132850779.510022","118745984.838751","122579359.80874","120300252.424605","103395095.972484","108368386.096967","112471757.794849","116190363.722248","115907309.974253","107938320.959452","","",
"Arab World","ARB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","12558418536.3156","14702886388.7361","17011383290.7658","19030630769.3251","25067099174.8401","31200378230.0205","36933545224.7446","37214277529.6811","39312661125.8438","43653231857.0877","44142700435.134","44711126743.3129","50867816816.4003","55022050804.5075","58081679091.4178","62592113908.7603","52605408504.1129","53267312844.6993","53866731102.9164","57189336320.8739","64659233183.2772","71854067815.6533","78104183287.8137","78730591985.0585","84803825967.9484","98365266476.9948","100255887343.903","102536712864.322","117026023970.917","135983176487.34","161945448230.889","184110653270.579","207193448483.301","253885635800.787","219435972643.005","256750798739.777","296367009623.641","320704021872.524","320311881700","329338287360.217","294579550147.728","290296181654.794","291634944368.234","319142605556.099","315036402461.833","288989505581.449","352545431606.133","",
"United Arab Emirates","ARE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","134046903.794209","215780020.743214","682499423.564676","816026038.437694","954739628.377493","1625397852.94276","3163443203.48679","3695723236.17543","3753745573.41324","3823208934.89512","3624897847.99782","2809043857.2596","3192590574.77527","3207028057.74993","3386270770.90711","3799509670.38954","3826750204.304","4113320621.08417","4363116317.07981","3906837374.01253","4452465268.31926","4883138109.50695","6224734404.79433","6531518039.48264","7226412525.52757","9465486725.66372","13754663036.079","14345813478.5568","15247923757.6583","17018107556.1607","19159972770.5922","21449693669.1627","23278420694.3499","27131654186.5214","23314635806.6712","23036890973.4513","27012249230.7692","31095868545.7922","31720297182.2867","33605870207.6757","33976082195.4717","34442146214.9258","36635868564.3044","38117534633.6242","37064624581.5461","35966994023.6749","43030584889.7481","",
"Argentina","ARG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","11673529107.6695","11740952533.018","9174848543.83873","9569142702.52082","11453999979.1217","9963158196.17034","11906599839.0298","12628249874.21","18040443689.335","24655222754.2397","20039486085.9997","20015850633.0869","20778999454.2837","19822294944.7923","22635232910.6023","22685371287.1712","22631579613.8817","26439043921.3852","31889838392.5678","23497000593.5842","26208333995.4115","30417777316.6485","30550476432.9985","35337499723.9996","23718638577.0212","37867881956.1752","46265967383.3246","50011204825.3584","43181479379.3794","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","19884659444.7571","28690164511.4211","31181294718.6206","36449209845.7969","41576107685.8108","49016520323.1183","59795791835.7078","51890313730.722","67123175368.3781","84034582759.5436","83081051122.8397","82864793306.4051","77752039861.1526","84344878153.7785","75199976819.6664","82610822685.9147","73790408467.6989","60629731064.0755","55391122541.7924","75418727791.2469","",
