Year,Sri Lanka Agri.,Sri Lanka Man.,Pakistan Agri.,Pakistan Man.,Sri Lanka Tadable,Pakistan Tradable,Sri Lanka Population,Pakistan Population,Sri Lanka Per Capita Tradable,Pakistan Per Capita Tradable
1960,452628709.264706,230672268.907563,1619277614.44771,423771524.569509,683300978.172269,2043049139.01722,9874476,45954226,69.1987076754522,44.4583516435947
1961,475327540.504202,230041995.798319,1718605627.88744,478370432.591348,705369536.302521,2196976060.47879,10111639,47060915,69.7581802814085,46.6836664879718
1962,445915395.329218,237654300.411523,1725325493.49013,549559008.819824,683569695.740741,2274884502.30995,10352180,48161841,66.0314731525863,47.2341682767058
1963,401354271.042017,203193260.504202,1798614027.71945,635237295.254095,604547531.546219,2433851322.97355,10597516,49325050,57.0461541691675,49.3431090890643
1964,405529192.184874,212268890.756303,1994750104.9979,715875682.48635,617798082.941177,2710625787.48425,10849977,50552592,56.9400361808303,53.6199170061201
1965,485122994.60084,297689054.621849,2191936161.27677,790844183.116338,782812049.222689,2982780344.39311,11110825,51841626,70.4548986436821,57.5363964161369
1966,502368228.592437,280462205.882353,2220075598.48803,903191936.161277,782830434.474790,3123267534.64931,11380665,53199414,68.7860010355098,58.7086830439394
1967,559275604.403292,280452695.473251,2616547669.04662,990970180.596388,839728299.876543,3607517849.64301,11657650,54629793,72.032382159058,66.0357224791793
1968,569726904.537815,290420168.067227,2938681226.37547,1095968080.63839,860147072.605042,4034649307.01386,11937607,56124743,72.053559193651,71.8871765170285
1969,576361745.798319,340000016.806723,2947921041.57917,1269634607.30785,916361762.605042,4217555648.88702,12214948,57676805,75.0197023028704,73.1239472936655
1970,660643350.336134,369243680.672269,3352372952.54095,1462620747.58505,1029887031.008400,4814993700.12600,12485736,59290872,82.4850878641355,81.2096961590648
1971,652127438.161889,404553136.593592,3409491810.1638,1621797564.04872,1056680574.755480,5031289374.21252,12747831,60878781,82.8910090473807,82.6443843251809
1972,682889314.321608,434170854.271357,3088341656.62132,1382813845.35905,1117060168.592970,4471155501.98037,13002234,62509565,85.9129414678255,71.5275414567414
1973,795661200.1875,487812484.375,2071975787.38296,942305873.451244,1283473684.5625,3014281660.8342,13252033,64285624,96.8510782128674,46.8888916880421
1974,1198513211.08271,652932345.864662,2836767676.76768,1374040404.0404,1851445556.94737,4210808080.80808,13501931,66149169,137.124501447043,63.6562506296652
1975,1162011206.64765,735806005.706134,3387171717.17172,1605151515.15152,1897817212.35378,4992323232.32324,13755141,68126999,137.971483705894,73.2796586610727
1976,1052996951.12961,668252045.184304,3872525252.52525,1799191919.19192,1721248996.31391,5671717171.71717,14012894,70230923,122.833227477059,80.7581180688337
1977,1271487722.77339,904509594.137542,4441212121.21212,2059494949.49495,2175997316.91093,6500707070.70707,14273495,72451105,152.450210471292,89.7254371856312
1978,841415724.279308,518513779.628443,5107777777.77778,2420303030.30303,1359929503.907750,7528080808.08081,14533691,74789330,93.57082821616,100.657149998279
1979,916395653.050739,609120122.029544,5469393939.39394,2762020202.0202,1525515775.080280,8231414141.41414,14788866,77407341,103.15299192516,106.338934202819
1980,1119568807.6225,668360526.315789,6279191919.19192,3363636363.63636,1787929333.93829,9642828282.82828,15035840,80624057,118.911170505824,119.60236983396
1981,1234740284.15584,669246768.831169,7717070707.07071,3782424242.42424,1903987052.98701,11499494949.49500,15272822,84270202,124.665045725473,136.459800458233
1982,1268465275.78087,653580028.832292,8740853080.56872,4189289099.52607,1922045304.61316,12930142180.09480,15501210,87828198,123.993243405719,147.220852465797
1983,1471615363.8334,678198028.049299,7825196850.3937,3952755905.51181,2149813391.8827,11777952755.9055,15724641,91080372,136.716214499441,129.313841141377
1984,1743934672.40566,821147775.157233,7758236865.53874,4481893737.01395,2565082447.56289,12240130602.55270,15948501,94003867,160.835331644202,130.208798777956
